일련번호,지역,업력,대출년도,대출금액(백만원),업종
199,경기,5년미만,2021,100,
200,인천,10년미만,2021,100,
201,서울,5년미만,2021,100,
202,경남,10년미만,2021,150,
203,경북,20년미만,2021,1000,
204,울산,10년미만,2021,100,
205,울산,10년미만,2021,200,
206,충남,10년미만,2021,200,
207,광주,10년미만,2021,200,
208,대구,15년미만,2021,100,
209,경기,20년이상,2021,100,
210,경기,5년미만,2021,50,
211,제주,5년미만,2021,500,
212,제주,5년미만,2021,300,
213,경기,10년미만,2021,100,
214,경기,7년미만,2021,50,
215,경기,3년미만,2021,100,
216,경기,15년미만,2021,100,
217,경북,10년미만,2021,100,
218,경기,15년미만,2021,100,
219,울산,15년미만,2021,300,
220,전북,15년미만,2021,200,
221,충남,3년미만,2021,100,
222,경기,5년미만,2021,150,
223,경남,10년미만,2021,200,
224,대전,20년미만,2021,200,
225,대전,10년미만,2021,300,
226,강원,15년미만,2021,50,
227,경기,10년미만,2021,100,
228,부산,5년미만,2021,100,
229,경남,5년미만,2021,150,
230,전남,20년이상,2021,200,
231,서울,15년미만,2021,200,
232,울산,10년미만,2021,200,
233,충북,10년미만,2021,300,
234,경기,20년이상,2021,100,
235,경북,20년이상,2021,300,
236,대전,20년미만,2021,300,
237,대전,20년이상,2021,100,
238,부산,7년미만,2021,100,
239,경북,5년미만,2021,200,
240,전북,10년미만,2021,100,
241,경기,20년이상,2021,200,
242,대구,10년미만,2021,100,
243,전남,10년미만,2021,200,
244,부산,3년미만,2021,50,
245,경북,15년미만,2021,200,
246,경기,7년미만,2021,200,
247,전북,3년미만,2021,200,
248,서울,7년미만,2021,150,
249,경남,10년미만,2021,100,
250,대구,20년미만,2021,150,
251,경기,7년미만,2021,80,
252,전남,10년미만,2021,200,
253,경북,20년미만,2021,300,
254,경기,15년미만,2021,80,
255,제주,10년미만,2021,100,
256,경남,20년이상,2021,150,
257,경남,10년미만,2021,100,
258,인천,20년이상,2021,80,
259,대구,10년미만,2021,100,
260,경기,5년미만,2021,1000,
261,울산,10년미만,2021,100,
262,울산,1년미만,2021,100,
263,인천,15년미만,2021,100,
264,광주,10년미만,2021,200,
265,경남,20년이상,2021,200,
266,서울,5년미만,2021,200,
267,서울,20년이상,2021,100,
268,서울,10년미만,2021,300,
269,경북,15년미만,2021,150,
270,경북,20년이상,2021,250,
271,경기,15년미만,2021,100,
272,인천,20년미만,2021,50,
273,강원,20년이상,2021,200,
274,경기,10년미만,2021,250,
275,인천,3년미만,2021,200,
276,인천,10년미만,2021,100,
277,대전,20년이상,2021,100,
278,충북,10년미만,2021,100,
279,경북,10년미만,2021,50,
280,대전,10년미만,2021,200,
281,경북,20년이상,2021,150,
282,경남,15년미만,2021,200,
283,부산,3년미만,2021,100,
284,강원,15년미만,2021,200,
285,경기,7년미만,2021,100,
286,경북,20년미만,2021,200,
287,대구,10년미만,2021,100,
288,경남,10년미만,2021,250,
289,경북,15년미만,2021,150,
290,경북,10년미만,2021,200,
291,경기,15년미만,2021,100,
292,인천,7년미만,2021,50,
293,대구,20년이상,2021,300,
294,충남,15년미만,2021,200,
295,경북,15년미만,2021,500,
296,경기,15년미만,2021,50,
297,경기,10년미만,2021,200,
298,대구,20년이상,2021,200,
299,경북,15년미만,2021,300,
300,경기,7년미만,2021,100,
301,경기,5년미만,2021,50,
302,경기,3년미만,2021,100,
303,경기,15년미만,2021,100,
304,인천,15년미만,2021,200,
305,경남,5년미만,2021,150,
306,강원,7년미만,2021,150,
307,경남,10년미만,2021,200,
308,대구,10년미만,2021,150,
309,경기,7년미만,2021,50,
310,전북,15년미만,2021,200,
311,인천,15년미만,2021,80,
312,서울,20년미만,2021,150,
313,경기,15년미만,2021,100,
314,충남,3년미만,2021,200,
315,경남,10년미만,2021,100,
316,부산,10년미만,2021,150,
317,부산,5년미만,2021,200,
318,경남,7년미만,2021,1000,
319,충남,5년미만,2021,100,
320,경북,20년이상,2021,300,
321,경북,10년미만,2021,100,
322,충남,15년미만,2021,150,
323,대전,7년미만,2021,100,
324,경북,10년미만,2021,300,
325,경남,5년미만,2021,100,
326,인천,20년미만,2021,100,
327,강원,3년미만,2021,150,
328,부산,3년미만,2021,80,
329,경기,20년이상,2021,200,
330,인천,20년이상,2021,80,
331,경기,20년이상,2021,100,
332,경남,15년미만,2021,150,
333,경남,20년미만,2021,150,
334,전북,20년이상,2021,200,
335,서울,15년미만,2021,200,
336,충남,5년미만,2021,100,
337,전북,3년미만,2021,300,
338,경남,15년미만,2021,200,
339,경기,20년미만,2021,100,
340,경기,15년미만,2021,300,
341,전남,15년미만,2021,100,
342,경남,20년미만,2021,100,
343,대구,10년미만,2021,50,
344,경남,15년미만,2021,150,
345,인천,3년미만,2021,50,
346,서울,20년미만,2021,100,
347,경북,10년미만,2021,100,
348,경기,10년미만,2021,100,
349,경북,10년미만,2021,100,
350,경기,5년미만,2021,100,
351,전남,15년미만,2021,200,
352,인천,15년미만,2021,80,
353,경기,20년이상,2021,120,
354,인천,20년이상,2021,200,
355,대구,20년미만,2021,200,
